"name","id"
"Obveze prema dobavljačima","account_type_obveze_dob"
"Potraživanja od kupaca","account_type_potraz_kup"
"Potraživanja za upisani kapital","account_type_upis_kapital"
"Aktivna vrem. Razgraničenja","account_type_aktiv_razgran"
"Kapital i rezerve","account_type_kapital"
"Rezerviranja","account_type_rezervacije"
"Ostalo","account_type_other"
"Poslovni prihodi","account_type_posl_prihod"
"Izvanredni prihodi","account_type_izv_prihod"
"Poslovni rashodi","account_type_posl_rashod"
"Dugoročne obveze","account_type_dug_obv"
"Pasivna vrem. Razgraničenja","account_type_pas_razgran"
"Obveze za PDV","account_type_pdv"
"Potraživanja za pretporez","account_type_pretporez"
