"id","name"
"account.data_account_type_liability","Obveznosti do virov sredstev"
"account.data_account_type_payable","Obveznosti do virov sredstev - obveznosti"
"account.data_account_type_other","Ostalo"
"account.data_account_type_asset","Sredstva"
"account.data_account_type_receivable","Sredstva - terjatve"
"account.data_account_type_expense","Uspeh - odhodki"
"account.data_account_type_income","Uspeh - prihodki"
"account.data_account_type_stroski","Stroški"
"account.data_account_type_bank","Banka"
"account.data_account_type_cash","Gotovina"
