"id","chart_template_id/id","name","description","amount_type","amount","type_tax_use","price_include","refund_account_id/id","account_id/id","include_base_amount","sequence","children_tax_ids/id"
"gd_taxr_1","gd_chart","Izstopni DDV 0%","DDV-I-0","percent","0","sale","True",,,,,
"gd_taxr_2","gd_chart","Izstopni DDV 8.5%","DDV-I-8.5","percent","8.5","sale","True","gd_acc_260001","gd_acc_260001","gd_taxc_2111",,,
"gd_taxr_3","gd_chart","Izstopni DDV 20%","DDV-I-20","percent","2","sale","True","gd_acc_260002","gd_acc_260002","gd_taxc_2112",,,
"gd_taxp_1","gd_chart","Vstopni DDV 0%","DDV-V-0","percent","0","purchase","True",,,,,,
"gd_taxp_2","gd_chart","Vstopni DDV 8,5%","DDV-V-8.5","percent","8.5","purchase","True","gd_acc_160002","gd_acc_160002","gd_taxc_2121",,,
"gd_taxp_3","gd_chart","Vstopni DDV 20%","DDV-V-20","percent","2","purchase","True","gd_acc_160003","gd_acc_160003","gd_taxc_2122",,,
"gd_taxp_nr_1","gd_chart","Vstopni DDV 8,5% - neodbitni ","DDV-V-8.5-NE","percent","8.5","purchase","True","gd_acc_160001","gd_acc_160001","gd_taxc_2211",,,
"gd_taxp_nr_2","gd_chart","Vstopni DDV 20% - neodbitni","DDV-V-20-NE","percent","2","purchase","True","gd_acc_160001","gd_acc_160001","gd_taxc_2212",,,
"gd_taxp_st_1_1","gd_chart","Vstopni DDV 8,5% - SO","SO-DDV-V-8.5","percent","8.5","purchase","False","gd_acc_160002","gd_acc_160002","gd_taxc_2121",,,
"gd_taxp_st_1_2","gd_chart","Izstopni DDV 8,5% - SO","SO-DDV-I-8.5","percent","-8.5","purchase","False","gd_acc_260001","gd_acc_260001","gd_taxc_2111",,,
"gd_taxp_st_1","gd_chart","Vstopni DDV 8.5% - samoobdavčitev","DDV-V-8.5-SO","percent","0","purchase","False",,,,,"gd_taxp_st_1_1,gd_taxp_st_1_2"
"gd_taxp_st_2_1","gd_chart","Vstopni DDV 20% - SO","SO-DDV-V-20","percent","2","purchase",,"gd_acc_160003","gd_acc_160003","gd_taxc_2122",,,
"gd_taxp_st_2_2","gd_chart","Izstopni DDV 20% - SO","SO-DDV-I-20","percent","-2","purchase",,"gd_acc_260002","gd_acc_260002","gd_taxc_2112",,,
"gd_taxp_st_2","gd_chart","Vstopni DDV 20% - samoobdavčitev","DDV-V-20-SO","percent","0","purchase","True",,,,,"gd_taxp_st_2_1,gd_taxp_st_2_2"
